ID,NAME,PRICEBOOK2ID,PRODUCT2ID,CURRENCYISOCODE,UNITPRICE,ISACTIVE,USESTANDARDPRICE,PRODUCTCODE,ISDELETED,PRODUCT_SELECTION_VIEW__C,PRODUCT_FAMILY__C,ISO_SYMBOL__C
01u1r000010DkUcAAK,Lightning 1 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC91QAG,GBP,434,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å£434.00),Desktop,å£
01u1r000010DkUNAA0,Lightning 5 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC8tQAG,GBP,510,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop (å£510.00),Desktop,å£
01u1r000010DkUOAA0,Lightning 5 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC8tQAG,JPY,73920,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop (å´73920.00),Desktop,å´
01u1r000010DkUhAAK,Lightning 1 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC91QAG,JPY,63345,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å´63345.00),Desktop,å´
01u1r000010DkUPAA0,Lightning 5 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC8tQAG,SGD,925,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop ($925.00),Desktop,$
01u1r000010DkUmAAK,Lightning 1 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC91QAG,SGD,790,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop ($790.00),Desktop,$
01u1r000010DiPJAA0,Universal Adapter,01s7E000000CNNlQAO,01t7E000005OC8xQAG,USD,21.95,FALSE,FALSE,SF00-0236-WHT-000,FALSE,Universal Adapter ($21.95),Accessories,$
01u1r000010DiOLAA0,Lightning Wireless Solar Keyboard,01s7E000000CNNlQAO,01t7E000005OC90QAG,USD,120,FALSE,FALSE,LWK,FALSE,Lightning Wireless Solar Keyboard ($120.00),Accessories,$
01u1r000010DiP4AAK,Aria Portable Bluetooth Speaker,01s7E000000CNNlQAO,01t7E000005OC8wQAG,USD,60,FALSE,FALSE,SF00-0254-WHT-000,FALSE,Aria Portable Bluetooth Speaker ($60.00),Accessories,$
01u1r000010DiOuAAK,Beats Headphones,01s7E000000CNNlQAO,01t7E000005OC8zQAG,USD,149.99,FALSE,FALSE,SF00-0219-WHT-000,FALSE,Beats Headphones ($149.99),Accessories,$
01u1r000010DiPYAA0,Calimari Charging Cable,01s7E000000CNNlQAO,01t7E000005OC8yQAG,USD,15.5,FALSE,FALSE,SF00-0210-WHT-000,FALSE,Calimari Charging Cable ($15.5),Accessories,$
01u1r000010DiNXAA0,Lightning 1 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC91QAG,USD,599,FALSE,FALSE,L1D,FALSE,Lightning 1 Series Desktop ($599.00),Desktop,$
01u1r000010DiNhAAK,Lightning 5 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC8tQAG,USD,699,FALSE,FALSE,L5D,FALSE,Lightning 5 Series Desktop ($699.00),Desktop,$
01u1r000010DiNwAAK,Spider 1 Series Laptop,01s7E000000CNNlQAO,01t7E000005OC8qQAG,USD,399,FALSE,FALSE,S1L,FALSE,Spider 1 Series Laptop ($399.00),Laptop,$
01u1r000010DiO6AAK,Spider Laptop Sleeve,01s7E000000CNNlQAO,01t7E000005OC8vQAG,USD,70,FALSE,FALSE,SLS,FALSE,Spider Laptop Sleeve ($70.00),Accessories,$
01u1r000010DiNmAAK,Spider 5 Series Laptop,01s7E000000CNNlQAO,01t7E000005OC8rQAG,USD,499,FALSE,FALSE,S5L,FALSE,Spider 5 Series Laptop ($499.00),Laptop,$
01u1r000010DiOkAAK,Skyline Mousepad,01s7E000000CNNlQAO,01t7E000005OC8sQAG,USD,25,FALSE,FALSE,SF00-0172-000-000,FALSE,Skyline Mousepad ($25.00),Accessories,$
01u1r000010DiOVAA0,Spider Expansion Storage,01s7E000000CNNlQAO,01t7E000005OC8uQAG,USD,90,FALSE,FALSE,SES,FALSE,Spider Expansion Storage ($90.00),Accessories,$
01u1r000010DkUSAA0,Lightning 5 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC8tQAG,GBP,510,TRUE,TRUE,L5D,FALSE,Lightning 5 Series Desktop (å£510.00),Desktop,å£
01u1r000010DkUsAAK,Lightning 1 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC91QAG,GBP,434,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å£434.00),Desktop,å£
01u1r000010DkUTAA0,Lightning 5 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC8tQAG,JPY,73920,TRUE,TRUE,L5D,FALSE,Lightning 5 Series Desktop (å´73920.00),Desktop,å´
01u1r000010DkUtAAK,Lightning 1 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC91QAG,JPY,63345,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å´63345.00),Desktop,å´
01u1r000010DkUUAA0,Lightning 5 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC8tQAG,SGD,925,TRUE,TRUE,L5D,FALSE,Lightning 5 Series Desktop ($925.00),Desktop,$
01u1r000010DkUrAAK,Lightning 1 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC91QAG,SGD,790,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop ($790.00),Desktop,$
01u1r000010DiOBAA0,Spider Laptop Sleeve,01s7E000000CO5AQAW,01t7E000005OC8vQAG,USD,70,TRUE,FALSE,SLS,FALSE,Spider Laptop Sleeve ($70.00),Accessories,$
01u1r000010DiOzAAK,Beats Headphones,01s7E000000CO5AQAW,01t7E000005OC8zQAG,USD,149.99,TRUE,FALSE,SF00-0219-WHT-000,FALSE,Beats Headphones ($149.99),Accessories,$
01u1r000010DiPOAA0,Universal Adapter,01s7E000000CO5AQAW,01t7E000005OC8xQAG,USD,21.95,TRUE,FALSE,SF00-0236-WHT-000,FALSE,Universal Adapter ($21.95),Accessories,$
01u1r000010DiOpAAK,Skyline Mousepad,01s7E000000CO5AQAW,01t7E000005OC8sQAG,USD,25,TRUE,FALSE,SF00-0172-000-000,FALSE,Skyline Mousepad ($25.00),Accessories,$
01u1r000010DiNZAA0,Lightning 5 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC8tQAG,USD,699,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop ($699.00),Desktop,$
01u1r000010DiO1AAK,Spider 1 Series Laptop,01s7E000000CO5AQAW,01t7E000005OC8qQAG,USD,399,TRUE,FALSE,S1L,FALSE,Spider 1 Series Laptop ($399.00),Laptop,$
01u1r000010DiP9AAK,Aria Portable Bluetooth Speaker,01s7E000000CO5AQAW,01t7E000005OC8wQAG,USD,60,TRUE,FALSE,SF00-0254-WHT-000,FALSE,Aria Portable Bluetooth Speaker ($60.00),Accessories,$
01u1r000010DiOQAA0,Lightning Wireless Solar Keyboard,01s7E000000CO5AQAW,01t7E000005OC90QAG,USD,120,TRUE,FALSE,LWK,FALSE,Lightning Wireless Solar Keyboard ($120.00),Accessories,$
01u1r000010DiNnAAK,Spider 5 Series Laptop,01s7E000000CO5AQAW,01t7E000005OC8rQAG,USD,499,TRUE,FALSE,S5L,FALSE,Spider 5 Series Laptop ($499.00),Laptop,$
01u1r000010DiNcAAK,Lightning 1 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC91QAG,USD,599,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop ($599.00),Desktop,$
01u1r000010DiOaAAK,Spider Expansion Storage,01s7E000000CO5AQAW,01t7E000005OC8uQAG,USD,90,TRUE,FALSE,SES,FALSE,Spider Expansion Storage ($90.00),Accessories,$
01u1r000010DiPdAAK,Calimari Charging Cable,01s7E000000CO5AQAW,01t7E000005OC8yQAG,USD,15.5,TRUE,FALSE,SF00-0210-WHT-000,FALSE,Calimari Charging Cable ($15.5),Accessories,$
01u1r000010DkUXAA0,Lightning 5 Series Desktop,01s7E000000CO59QAG,01t7E000005OC8tQAG,GBP,434,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop (å£434.00),Desktop,å£
01u1r000010DkUxAAK,Lightning 1 Series Desktop,01s7E000000CO59QAG,01t7E000005OC91QAG,GBP,360,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å£360.00),Desktop,å£
01u1r000010DkUYAA0,Lightning 5 Series Desktop,01s7E000000CO59QAG,01t7E000005OC8tQAG,JPY,63345,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop (å´63345.00),Desktop,å´
01u1r000010DkUwAAK,Lightning 1 Series Desktop,01s7E000000CO59QAG,01t7E000005OC91QAG,JPY,52770,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å´52770.00),Desktop,å´
01u1r000010DkUZAA0,Lightning 5 Series Desktop,01s7E000000CO59QAG,01t7E000005OC8tQAG,SGD,790,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop ($790.00),Desktop,$
01u1r000010DkUyAAK,Lightning 1 Series Desktop,01s7E000000CO59QAG,01t7E000005OC91QAG,SGD,658,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop ($658.00),Desktop,$
01u1r000010DiPEAA0,Aria Portable Bluetooth Speaker,01s7E000000CO59QAG,01t7E000005OC8wQAG,USD,50,TRUE,FALSE,SF00-0254-WHT-000,FALSE,Aria Portable Bluetooth Speaker ($50.00),Accessories,$
01u1r000010DiOMAA0,Lightning Wireless Solar Keyboard,01s7E000000CO59QAG,01t7E000005OC90QAG,USD,105,TRUE,FALSE,LWK,FALSE,Lightning Wireless Solar Keyboard ($105.00),Accessories,$
01u1r000010DiOqAAK,Skyline Mousepad,01s7E000000CO59QAG,01t7E000005OC8sQAG,USD,20,TRUE,FALSE,SF00-0172-000-000,FALSE,Skyline Mousepad ($20.00),Accessories,$
01u1r000010DiOfAAK,Spider Expansion Storage,01s7E000000CO59QAG,01t7E000005OC8uQAG,USD,75,TRUE,FALSE,SES,FALSE,Spider Expansion Storage ($75.00),Accessories,$
