ID,NAME,PRICEBOOK2ID,PRODUCT2ID,CURRENCYISOCODE,UNITPRICE,ISACTIVE,USESTANDARDPRICE,PRODUCTCODE,ISDELETED,PRODUCT_SELECTION_VIEW__C,PRODUCT_FAMILY__C,ISO_SYMBOL__C
01u1r000010DkUcAAK,Lightning 1 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC91QAG,GBP,434,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å£434.00),Desktop,å£
01u1r000010DkUNAA0,Lightning 5 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC8tQAG,GBP,510,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop (å£510.00),Desktop,å£
01u1r000010DkUOAA0,Lightning 5 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC8tQAG,JPY,73920,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop (å´73920.00),Desktop,å´
01u1r000010DkUhAAK,Lightning 1 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC91QAG,JPY,63345,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å´63345.00),Desktop,å´
01u1r000010DkUPAA0,Lightning 5 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC8tQAG,SGD,925,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop ($925.00),Desktop,$
01u1r000010DkUmAAK,Lightning 1 Series Desktop,01s7E000000CNNlQAO,01t7E000005OC91QAG,SGD,790,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop ($790.00),Desktop,$
01u1r000010DkUSAA0,Lightning 5 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC8tQAG,GBP,510,TRUE,TRUE,L5D,FALSE,Lightning 5 Series Desktop (å£510.00),Desktop,å£
01u1r000010DkUsAAK,Lightning 1 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC91QAG,GBP,434,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å£434.00),Desktop,å£
01u1r000010DkUTAA0,Lightning 5 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC8tQAG,JPY,73920,TRUE,TRUE,L5D,FALSE,Lightning 5 Series Desktop (å´73920.00),Desktop,å´
01u1r000010DkUtAAK,Lightning 1 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC91QAG,JPY,63345,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å´63345.00),Desktop,å´
01u1r000010DkUUAA0,Lightning 5 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC8tQAG,SGD,925,TRUE,TRUE,L5D,FALSE,Lightning 5 Series Desktop ($925.00),Desktop,$
01u1r000010DkUrAAK,Lightning 1 Series Desktop,01s7E000000CO5AQAW,01t7E000005OC91QAG,SGD,790,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop ($790.00),Desktop,$
01u1r000010DkUXAA0,Lightning 5 Series Desktop,01s7E000000CO59QAG,01t7E000005OC8tQAG,GBP,434,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop (å£434.00),Desktop,å£
01u1r000010DkUxAAK,Lightning 1 Series Desktop,01s7E000000CO59QAG,01t7E000005OC91QAG,GBP,360,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å£360.00),Desktop,å£
01u1r000010DkUYAA0,Lightning 5 Series Desktop,01s7E000000CO59QAG,01t7E000005OC8tQAG,JPY,63345,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop (å´63345.00),Desktop,å´
01u1r000010DkUwAAK,Lightning 1 Series Desktop,01s7E000000CO59QAG,01t7E000005OC91QAG,JPY,52770,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop (å´52770.00),Desktop,å´
01u1r000010DkUZAA0,Lightning 5 Series Desktop,01s7E000000CO59QAG,01t7E000005OC8tQAG,SGD,790,TRUE,FALSE,L5D,FALSE,Lightning 5 Series Desktop ($790.00),Desktop,$
01u1r000010DkUyAAK,Lightning 1 Series Desktop,01s7E000000CO59QAG,01t7E000005OC91QAG,SGD,658,TRUE,FALSE,L1D,FALSE,Lightning 1 Series Desktop ($658.00),Desktop,$
